edgeID,startNode,endNode
NHALL02504_NDEPT01404,NHALL02504,NDEPT01404
NHALL02504_NDEPT01504,NHALL02504,NDEPT01504
NHALL02504_NHALL02404,NHALL02504,NHALL02404
AHALL0070G_ACONF0010G,AHALL0070G,ACONF0010G
AHALL0070G_AHALL0050G,AHALL0070G,AHALL0050G
DHALL01202_DCONF00102,DHALL01202,DCONF00102
DHALL01202_DHALL01102,DHALL01202,DHALL01102
NDEPT00904_LHALL00304,NDEPT00904,LHALL00304
BSTAI00302_BHALL00802,BSTAI00302,BHALL00802
EHALL00401_EHALL00301,EHALL00401,EHALL00301
DHALL05802_DHALL05702,DHALL05802,DHALL05702
NSERV00804_NHALL02904,NSERV00804,NHALL02904
WELEV00KL2_CHALL003L2,WELEV00KL2,CHALL003L2
WELEV00KL2_CLABS002L2,WELEV00KL2,CLABS002L2
WELEV00KL2_WELEV00K01,WELEV00KL2,WELEV00K01
WELEV00KL2_WELEV00K02,WELEV00KL2,WELEV00K02
WELEV00KL2_WELEV00K03,WELEV00KL2,WELEV00K03
WELEV00KL2_WELEV00KL1,WELEV00KL2,WELEV00KL1
WELEV00KL1_CHALL008L1,WELEV00KL1,CHALL008L1
WELEV00KL1_CHALL009L1,WELEV00KL1,CHALL009L1
WELEV00KL1_WELEV00K01,WELEV00KL1,WELEV00K01
WELEV00KL1_WELEV00K02,WELEV00KL1,WELEV00K02
WELEV00KL1_WELEV00K03,WELEV00KL1,WELEV00K03
DHALL04702_DHALL04602,DHALL04702,DHALL04602
KLABS00801_KHALL02001,KLABS00801,KHALL02001
PHALL00905_PCONF00205,PHALL00905,PCONF00205
PHALL00905_PHALL00805,PHALL00905,PHALL00805
AHALL004L2_AHALL003L2,AHALL004L2,AHALL003L2
FEXIT00301_FDEPT00501,FEXIT00301,FDEPT00501
FEXIT00301_FEXIT00201,FEXIT00301,FEXIT00201
FHALL01801_FHALL00701,FHALL01801,FHALL00701
FHALL01801_FHALL01701,FHALL01801,FHALL01701
MSERV00302_LHALL00203,MSERV00302,LHALL00203
MSERV00303_LHALL00203,MSERV00303,LHALL00203
MSERV00301_LHALL00203,MSERV00301,LHALL00203
LREFL00101_EHALL02301,LREFL00101,EHALL02301
EHALL02801_EHALL02501,EHALL02801,EHALL02501
DHALL03402_DHALL03202,DHALL03402,DHALL03202
MSERV00304_LKIOS00103,MSERV00304,LKIOS00103
LREFL00103_GHALL01303,LREFL00103,GHALL01303
KSTAI00201_KHALL01601,KSTAI00201,KHALL01601
MSERV00305_LKIOS00103,MSERV00305,LKIOS00103
GHALL007L2_GELEV00QL2,GHALL007L2,GELEV00QL2
LELEV00X02_KELEV00X01,LELEV00X02,KELEV00X01
NHALL00104_IHALL03504,NHALL00104,IHALL03504
EHALL01701_EHALL01601,EHALL01701,EHALL01601
DHALL02302_DHALL02202,DHALL02302,DHALL02202
AHALL00701_ADEPT00301,AHALL00701,ADEPT00301
AHALL00701_AHALL00501,AHALL00701,AHALL00501
GREST004L2_GHALL005L2,GREST004L2,GHALL005L2
GREST004L2_GLABS003L2,GREST004L2,GLABS003L2
FSTAI00201_FHALL01001,FSTAI00201,FHALL01001
PSTAI00205_NSTAI00204,PSTAI00205,NSTAI00204
PSTAI00205_PHALL03105,PSTAI00205,PHALL03105
LSERV00202_LHALL00402,LSERV00202,LHALL00402
NHALL01204_NDEPT01104,NHALL01204,NDEPT01104
NHALL01204_NHALL01104,NHALL01204,NHALL01104
AHALL0090G_AELEV00S0G,AHALL0090G,AELEV00S0G
NHALL02704_NDEPT01704,NHALL02704,NDEPT01704
NHALL02704_NHALL02604,NHALL02704,NHALL02604
EHALL00601_EHALL00501,EHALL00601,EHALL00501
ELABS00101_EHALL02001,ELABS00101,EHALL02001
PSTAI00405_MSTAI00310,PSTAI00405,MSTAI00310
PSTAI00405_NSTAI00304,PSTAI00405,NSTAI00304
PSTAI00405_PHALL02105,PSTAI00405,PHALL02105
FRETL00201_FHALL03001,FRETL00201,FHALL03001
AELEV00S0G_AELEV00S01,AELEV00S0G,AELEV00S01
AELEV00S0G_AELEV00S02,AELEV00S0G,AELEV00S02
AELEV00S0G_AELEV00S03,AELEV00S0G,AELEV00S03
DHALL01402_DHALL01302,DHALL01402,DHALL01302
BSTAI00502_BDEPT00702,BSTAI00502,BDEPT00702
BSTAI00502_BHALL01202,BSTAI00502,BHALL01202
FHALL00501_FHALL00401,FHALL00501,FHALL00401
AHALL00901_AHALL00101,AHALL00901,AHALL00101
AHALL00901_AHALL00201,AHALL00901,AHALL00201
PHALL01805_PDEPT00805,PHALL01805,PDEPT00805
PHALL01805_PHALL01705,PHALL01805,PHALL01705
BHALL01902_BDEPT00502,BHALL01902,BDEPT00502
MSERV00315_MHALL00316,MSERV00315,MHALL00316
